ID;Aspect;Slope;Form;PhysD;ZoogD;Snow;abudancia ;Agro.rupe;Alop.alpi;Anth.nipp;Aven.vers;Care.rosa;Care.foet;Care.semp;Fest.quad;Fest.viol;Kobr.myos;Poa.alpi;Alch.pent;Alch.glau;Camp.sche;Card.alpi;Cera.stri;Leuc.alpi;Erig.unif;Gent.vern;Geum.mont;Omal.supi;Leon.pyre;Ligu.muto;Minu.sedo;Plan.alpi;Poly.vivi;Pote.aure;Puls.vern;Ranu.kuep;Sagi.glab;Sali.herb;Sedu.alpe;Semp.mont;Sibb.proc;Vero.bell;otras
AR07;7;2;1;50;no;140;15;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;8
AR71;1;35;3;40;no;140;23;0;0;0;0;2;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;12
AR26;5;0;3;20;no;140;37;3;0;1;1;2;0;1;3;1;4;0;0;1;1;0;0;0;1;1;2;0;0;0;0;0;1;2;2;0;0;0;0;1;0;0;9
AR54;9;30;3;80;no;140;23;0;0;0;0;2;0;0;1;0;1;2;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;11
AR60;9;5;1;80;no;140;13;0;0;0;0;0;0;0;3;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5
AR70;1;30;3;40;no;140;32;0;0;0;0;3;0;0;0;0;4;2;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1;16
AR22;5;10;3;70;no;160;33;2;0;0;2;2;0;0;2;0;2;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;0;0;1;0;1;1;1;11
AR25;6;12;2;15;no;140;23;0;0;0;0;2;0;1;3;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;10
AR27;9;2;1;65;no;140;29;0;0;0;1;3;0;0;0;0;3;1;0;0;1;0;1;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;1;0;1;12
AR28;1;5;3;60;no;150;31;3;0;0;2;3;0;2;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;10
